PERIOD_BEGIN_DATE,YEAR,MONTH,SECTOR_SCENARIO_CD,CONSUMER_PRICE_INDEX,PERSONAL_DISPOSABLE_INCOME_REAL_LCU,GDP_NOMINAL_LCU,GDP_REAL_LCU,RETAIL_PRICES_INDEX,SHARE_PRICE_INDEX,UNEMP_RATE
01-11-2018,2018,11,4,95.85,13587.03,24492.87,24811.57,97.3,2666.44,2.87
01-11-2018,2018,11,5,95.85,13587.03,24492.87,24811.57,97.3,2666.44,2.87
01-12-2018,2018,12,1,96.13,13651.27,23104.83,23523.63,96.84,2729.69,2.88
01-12-2018,2018,12,2,96.13,13651.27,23104.83,23523.63,96.84,2729.69,2.88
01-12-2018,2018,12,3,96.13,13651.27,23104.83,23523.63,96.84,2729.69,2.88
01-12-2018,2018,12,4,96.13,13651.27,23104.83,23523.63,96.84,2729.69,2.88
01-12-2018,2018,12,5,96.13,13651.27,23104.83,23523.63,96.84,2729.69,2.88
01-01-2019,2019,1,1,96.42,13715.5,21716.8,22235.7,96.37,2792.94,2.9
01-01-2019,2019,1,2,96.42,13715.5,21716.8,22235.7,96.37,2792.94,2.9
01-01-2019,2019,1,3,96.42,13715.5,21716.8,22235.7,96.37,2792.94,2.9
01-01-2019,2019,1,4,96.42,13715.5,21716.8,22235.7,96.37,2792.94,2.9
01-01-2019,2019,1,5,96.42,13715.5,21716.8,22235.7,96.37,2792.94,2.9
01-02-2019,2019,2,1,96.47,13808.9,22527.97,22856.17,97.17,2865.41,2.91
01-02-2019,2019,2,2,96.47,13808.9,22527.97,22856.17,97.17,2865.41,2.91
01-02-2019,2019,2,3,96.47,13808.9,22527.97,22856.17,97.17,2865.41,2.91
01-02-2019,2019,2,4,96.47,13808.9,22527.97,22856.17,97.17,2865.41,2.91
01-02-2019,2019,2,5,96.47,13808.9,22527.97,22856.17,97.17,2865.41,2.91
01-03-2019,2019,3,1,96.52,13902.3,23339.13,23476.63,97.98,2937.88,2.93
01-03-2019,2019,3,2,96.52,13902.3,23339.13,23476.63,97.98,2937.88,2.93
01-03-2019,2019,3,3,96.52,13902.3,23339.13,23476.63,97.98,2937.88,2.93
01-03-2019,2019,3,4,96.52,13902.3,23339.13,23476.63,97.98,2937.88,2.93
